user,user_profile,date_review,title,rating,type_visit,num_contributions,review,review_cleaned,year,month
Bertrand L,BertrandL1392,2021-07-29,incontournable,4.0,none,3,"Merveilleux moment passé dans ce restaurant d'une qualité extraordinaire. Ne changez vraiment rien tout est somptueux. Nous avons hâte de venir redécouvrir une nouvelle carte.

Bravo",merveilleux moment passé restaurant dune qualité extraordinaire changez vraiment rien tout somptueux avon hâte venir redécouvrir nouvelle carte bravo,2021,7
julgarthi,julgarthi,2021-07-26,Très bon moment culinaire,5.0,friends,201,Un très beau lieu qui propose de la cuisine dans la pure tradition lyonnaise de très bon niveau. Tout est très bon de l'accueil au service sans oublier la cuisine. ,très beau lieu propose cuisine pure tradition lyonnaise très bon niveau tout très bon laccueil service sans oublier cuisine,2021,7
Ben H,N4729RQbenh,2021-07-25,Un classique!,5.0,friends,6,"Un vrai régal, surtout les entrées! Un établissement de renom ou la qualité est le maître mot. Je vous conseille le repas en 7 services avec l’accord mets vin.",vrai régal surtout entrées établissement renom qualité maître mot conseille repas service laccord mets vin,2021,7
Xavier Brunet,Xavier154,2021-06-26,Magnifique menu déjeuner,5.0,none,276,"Nous connaissons la Mère Brazier depuis quelques années et nous ne manquons pas de nous y arrêter à chacunes de nos venues à Lyon. Cette fois-ci, nous avons eu la très agréable surprise de découvrir le magnifique menu proposé au déjeuner. 
Bien qu'il soit souvent difficile pour les grandes maison de s'exprimer pleinement dans les menus ""d'appel"", ce ne fût cependant  pas le cas pour Mathieu Vianney. 
Des entrées proposées - ceviche de maigre ou foie gras chaud à la rhubarbe - aux remarquables plats - turbot aux pommes fumées ou pain croustillant de brochet sauce Nantua (remarquable) sans oublié les desserts, dont l'exceptionnel Soufflé au chocolat (un must du genre),  tout ne fût qu'excellence et fût accompagné d'un très bon verre de Condrieu. J'oubliais un argument de choc, le prix de 75 € pour l'ensemble du menu, ce qui en fait une proposition qualité / prix absolument imbattable et un vrai moment de bonheur. Aucunes excuses pour ne pas en profiter !",connaissons mère brazier depuis quelques années manquons arrêter chacunes venue lyon cette foisci avon très agréable surprise découvrir magnifique menu proposé déjeuner bien quil souvent difficile grandes maison sexprimer pleinement menu dappel cependant mathieu vianney entrées proposées ceviche maigre foie gras chaud rhubarbe remarquables plat turbot pommes fumées pain croustillant brochet sauce nantua remarquable sans oublié dessert dont lexceptionnel soufflé chocolat must genre tout quexcellence accompagné dun très bon verre condrieu joubliais argument choc prix lensemble menu fait proposition qualité prix absolument imbattable vrai moment bonheur aucunes excuse profiter,2021,6
loulou69f,loulou69f,2021-02-14,Merci pour le repas Saint Valentin,5.0,none,1051,"Comme nous avons été heureux de passer chercher nos 2 menus !
Faciles à préparer, excellents .. Bref, merci à Mathieu Vianney de nous avoir permis de nous régaler pour la Saint Valentin tout simplement !",comme avon heureux passer chercher menu faciles préparer excellents bref merci mathieu vianney avoir permis régaler saint valentin tout simplement,2021,2
GuyR71520,GuyR71520,2020-11-24,Elégant et cordiale,5.0,none,108,"Une première pour nous à l'occasion de notre anniversaire de mariage, nous avons choisi le menu 7 services avec l’accord des vins. Tout fût  parfait ! à titre d'exemple la daurade marinée (excellente) nous fût servie avec un Saint Bris, l'accord était simplement parfait, amateur de Bourgogne j'ai pu découvrir ce cru que je connaissais mais que je n'avais jamais gouté ! L'aspect gastronomique nous a parfaitement satisfait. Loin de la saveur de certaines grandes tables, quelle ne fût pas notre surprise, au dessert d'avoir un joyeux anniversaire impromptu (un ou une serveuse nous avait entendu nous souhaiter joyeux anniversaire). Un vin blanc prévu au repas a été changé car nous avions pris ce vin à l'apéro (un meursault). Moralité une maison Lyonnaise... une vraie ou l’accueil et la courtoisie ne sont  pas feintes. Une mention spéciale à notre jeune sommelière dont la compétence n'avait comme égale que sa gentillesse.",première loccasion anniversaire mariage avon choisi menu service laccord vins tout parfait titre dexemple daurade marinée excellente servie saint bris laccord simplement parfait amateur bourgogne jai découvrir cru connaissais navais jamais gouté laspect gastronomique parfaitement satisfait loin saveur certaines grandes table quelle surprise dessert davoir joyeux anniversaire impromptu serveuse entendu souhaiter joyeux anniversaire vin blanc prévu repas changé car pris vin lapéro meursault moralité maison lyonnaise vraie laccueil courtoisie feintes mention spéciale jeune sommelière dont compétence navait comme égale gentillesse,2020,11
Thierry C,SUPERTITUS,2020-10-18,Tradition et modernité,5.0,none,196,"Si ce sont des émotions culinaires que l’on attend d’une table étoilée à la renommée historique, La Mère Brazier y répond haut la main.
Nous y avons déjeuné sur la base du menu dégustation en 10 services, plusieurs plats tout à fait remarquables, cuisinés avec des produits d’une très grande qualité et une maîtrise digne du MOF qu’est Mathieu Viannay.
Nous avions  fait le choix des vins en accord avec menu, l’occasion de belles découvertes.
Service souriant et au niveau attendu pour ce genre d’établissement, sans pour autant être omniprésent, qui sait faire oublier le contexte sanitaire obligeant au port du masque.
En résumé, une grand maison Lyonnaise qui s’appuie sur une histoire, des traditions et les associe à une modernité sans esbroufe.",émotions culinaires lon attend dune table étoilée renommée historique mère brazier répond haut main avon déjeuné base menu dégustation service plusieurs plat tout fait remarquables cuisinés produits dune très grande qualité maîtrise digne mof quest mathieu viannay fait choix vins accord menu loccasion belle découvertes service souriant niveau attendu genre détablissement sans autant être omniprésent sait faire oublier contexte sanitaire obligeant port masque résumé grand maison lyonnaise sappuie histoire tradition associe modernité sans esbroufe,2020,10
Violaine D,ArEliJul,2020-10-16,Délicieux!,5.0,couples,12,"Délicieux! Accords mets et vins parfait, sommelière au top. 
Juste un des serveurs moins agréable que les autres, dommage",délicieux accord mets vins parfait sommelière top juste serveurs moins agréable autres dommage,2020,10
Tonton Cristobal,Pigeon-vol,2020-10-12,DÉCEPTION,3.0,none,390,"D'abord le cadre, nous nous sommes retrouvés dans une petite salle avec 4 tables,
Les 4 coins!!, covid oblige,  sans doute mais pas bien gai comme ambiance.
Côté cuisine, un morceau de foie gras poêle à côte d'un petit artichaut, je pense que j'y arriverais chez moi et ça coûte quand même 60€. Le pigeon, cuisson réussie, quelques petits morceau de betterave rouge (75€) le dessert: Ananas et Mangue au Basilic Thaï, Parfait Noix de Coco, Coulis de Tamarillo, petits cubes de mangue, pas beaucoup vu l'ananas. Je me faisais une joie  de découvrir cette maison, pas l'envie d'y retourner! J' ai tellement de superbes souvenirs de chez Troisgros, Gérard Boyer quand il était aux Crayères à Reims, et bien d'autres.
dommage.",dabord cadre somme retrouvés petite salle table coin covid oblige sans doute bien gai comme ambiance côté cuisine morceau foie gras poêle côte dun petit artichaut pense arriverais chez coûte quand pigeon cuisson réussie quelques petits morceau betterave rouge dessert ananas mangue basilic thaï parfait noix coco coulis tamarillo petits cube mangue beaucoup lananas faisais joie découvrir cette maison lenvie retourner tellement superbes souvenir chez troisgros gérard boyer quand crayères reims bien dautres dommage,2020,10
peconsulting,peconsulting,2020-10-11,Bon moment entre Amis,5.0,friends,60,"On se sent comme à la maison tant l accueil est chaleureux, le service irréprochable .
Le chef vous cuisine des plats qui frôle la perfection , même si à ce niveau il manque peut être une deco des assiettes plus personnalisée 
Le Pain , le beurre , le fameux pâté en croûte...  les 7 plats , sans oublier le plateau de fromages 
Tout y est excellent !!!!
Nous garderons un grand souvenir de notre passage chez La mère Brazier 
Merci à toute l équipe 
",sent comme maison tant accueil chaleureux service irréprochable chef cuisine plat frôle perfection niveau manque peut être deco assiettes plus personnalisée pain beurre fameux pâté croûte plat sans oublier plateau fromages tout excellent garderons grand souvenir passage chez mère brazier merci toute équipe,2020,10
Jmdanton,231jeanmarcd,2020-10-08,Un regal,5.0,none,6,"Rien à dire aucune fausse note. C était un délice et le sommelier incroyable.
Ce chef a su redonner une note moderne à ses plats.
Attention à ne pas re rentrer dans du trop classique ;-)",rien dire aucune fausse note délice sommelier incroyable chef redonner note moderne plat attention rentrer trop classique,2020,10
Alexmicha,Alexmicha,2020-10-05,"Nouvelle carte, plus moderne 🤩🤩",5.0,family,1563,"La mère Brazier a complètement changé sa carte avec un nouveau concept. 
Le menu en 10 services qui comprend 4 entrées, 2 poissons, 1 viande, 1 pré-dessert,  et 2 desserts, avec des mignardises, madeleine, caramel et nougat. Le menu est beaucoup plus raffiné et moderne. Les plats sont moins classiques, ils ont juste gardé 2 plats emblématiques qui sont le pain brochet et le foie gras artichaut.
Nous avons l’habitude d’aller à ce restaurant qui proposait des plats classiques et  là nous sommes agréablement surpris par ce changement. Bravo au chef qui a su renouveler sa carte, nous reviendrons pour goûter de nouveaux plats 😋🤩⭐️",mère brazier complètement changé carte nouveau concept menu service comprend entrées poissons viande prédessert dessert mignardises madeleine caramel nougat menu beaucoup plus raffiné moderne plat moins classiques juste gardé plat emblématiques pain brochet foie gras artichaut avon lhabitude daller restaurant proposait plat classiques somme agréablement surpris changement bravo chef renouveler carte reviendrons goûter nouveaux plat,2020,10
Jean-Louis J,jean_louisEvenos,2020-09-25,Formidable,5.0,none,217,"Menu 3 entrées, poisson, viande et dessert. Si ce n'est un petit bout de carapace dans l’araignée de mer en entrée, tout était parfait : ladite araignée était succulente tout comme le brochet,  le foie gras, le ris de veau (une pure merveille !), les figues rôties...Une succession de saveurs et un service à la hauteur, efficace et discret. A recommander sans modération. Merci au chef et à toute l'équipe.",menu entrées poisson viande dessert nest petit bout carapace laraignée mer entrée tout parfait ladite araignée succulente tout comme brochet foie gras veau pure merveille figues rôtiesune succession saveurs service hauteur efficace discret recommander sans modération merci chef toute léquipe,2020,9
Annick,annickrobinflory,2020-09-21,"Excellente table
Un pur bonheur",5.0,friends,42,"Excellente table
Un pur bonheur sous les papilles 
Mets succulents 
Cuisine délicieuse et créative 
Bravo au chef j’adhère ( le pain de brochet aux écrevisses à tomber 😋😋😋
Je recommande vraiment cette adresse 
Et merci à Cathy pour son service tout sourire ( derrière son masque 😉)",excellente table pur bonheur sou papilles mets succulent cuisine délicieuse créative bravo chef jadhère pain brochet écrevisses tomber recommande vraiment cette adresse merci cathy service tout sourire derrière masque,2020,9
Francis M,fmn824,2020-09-19,Un grand restaurant qui tout,5.0,business,28,Un grand restaurant qui tout en partant de plats signatures traditionnelles réussit à intégrer un creativité évolutive ,grand restaurant tout partant plat signature traditionnelles réussit intégrer creativité évolutive,2020,9
adloSaintChamond,adloSaintChamond,2020-09-15,toujours parfait,5.0,none,77,"Accueil et service irréprochables, discrets.
Magnifique décoration, respect de l'âme de l'ancienne propriétaire, excellent conseil du sommelier. 
Déjeuner parfait, vraiment un excellent repas, qualité des produits, mariage des goûts, ce moment fut magique de la mise en bouche au dessert.
Mention +++ pour l'ambiance, c'est un lieu à très belle réputation, pour autant, on s'y sent bien, service parfait non guindé, ce que, personnellement, j'ai beaucoup apprécié.",accueil service irréprochables discrets magnifique décoration respect lâme lancienne propriétaire excellent conseil sommelier déjeuner parfait vraiment excellent repas qualité produits mariage goûts moment magique mise bouche dessert mention lambiance cest lieu très belle réputation autant sent bien service parfait non guindé personnellement jai beaucoup apprécié,2020,9
Eve R,171ever,2020-09-14,Quel beau moment de gastronomie,5.0,none,7,"Vraiment, et en tout point, notre expérience dans ce magnifique établissement était parfaite. Une cuisine fine et délicate qui met en éveil tout vos sens. Une équipe réellement aux petits soins pour vous servir et surtout nous avons eu l'extrême privilège de pouvoir visiter l'établissement suite à notre repas. C'est tout simplement merveilleux. Pour le moment notre meilleur table dans cette magnifique ville. Bravo à tout le personnel. A très bientôt.",vraiment tout point expérience magnifique établissement parfaite cuisine fine délicate met éveil tout sen équipe réellement petits soins servir surtout avon lextrême privilège pouvoir visiter létablissement suite repas cest tout simplement merveilleux moment meilleur table cette magnifique ville bravo tout personnel très bientôt,2020,9
J M B,536jmb,2020-09-13,Très bon et excellent accueil.,5.0,none,4,Très bon et excellent accueil. un équipe au petit soins dans un cadre chaleureux et raffiné à la fois ,très bon excellent accueil équipe petit soins cadre chaleureux raffiné fois,2020,9
Banjo,BanjolinoBazar,2020-09-06,Excellente expérience,5.0,couples,651,"Excellente expérience fut la soirée passée à la mère Brazier, du début à la fin. Le menu en 7 services et son accord met et vin nous a ravi. L’expertise du service, et la sommelière notamment, rendent le moment inoubliable.",excellente expérience soirée passée mère brazier début fin menu service accord met vin ravi lexpertise service sommelière notamment rendent moment inoubliable,2020,9
Jean-marc S,jeanmarcs832,2020-09-04,Une très belle soirée,4.0,none,80,"Nous avons dîné en couple dans ce restaurant de renom cette semaine. Une très belle soirée : accueil et service irréprochable; de très bons conseils de la sommelière.
Une très belle cuisine, maîtrisée et de  très  grande qualité. 
Mais nous attendions un peu  plus de ""surprise"" quant aux recettes, somme toute assez classiques,... et  certes ""revisitées""...",avon dîné couple restaurant renom cette semaine très belle soirée accueil service irréprochable très bons conseils sommelière très belle cuisine maîtrisée très grande qualité attendions peu plus surprise quant recettes somme toute assez classiques certes revisitées,2020,9
Voyage310816,Voyage310816,2020-08-29,Super.,5.0,none,342,Super. Un peu septique par le cadre j’ai été subjuguée par les plats de hautes qualités. Succulent déjeuner en plein cœur de Lyon . Belle adresse ,super peu septique cadre jai subjuguée plat hautes qualités succulent déjeuner plein cœur lyon belle adresse,2020,8
victoria c,vicky0401,2020-08-28,somptueux diner,5.0,none,132,"Ravis d'avoir partagé cette expérience et toute l'histoire qui découle de ce magnifique établissement. Le restaurant est partagé en plusieurs salons tous différents les uns des autres. Comme un appartement. Le Cadre est somptueux et historique : on sent les yeux de la Mère Brazier sur notre table pendant tout le repas. Le menu est très copieux et les matières  premières utilisées délicieusement cuisinées. Seule petite remarque : mon mari ne mange pas de viande et malgré l'avoir dit au MH, l'apéritif (croûte foie gras et volaille néanmoins délicieuse) n'a pas été remplacée. Ils auraient pu ramener une petite bouchée aux légumes... 
Le pain est fantastique. Mention spéciale pour le tourteau et les quenelles de brochet revisitées. Sans parler du foie gras/artichaut version 14! 
Le Directeur de l'établissement est d'une classe et d'un professionalisme exceptionnels. Nous garderons un souvenir magnifique de ce repas. C'était magique et nous y retournerons avec grand plaisir.",ravis davoir partagé cette expérience toute lhistoire découle magnifique établissement restaurant partagé plusieurs salon tous différents autres comme appartement cadre somptueux historique sent yeux mère brazier table pendant tout repas menu très copieux matières premières utilisées délicieusement cuisinées seule petite remarque mari mange viande malgré lavoir dit lapéritif croûte foie gras volaille néanmoins délicieuse remplacée ramener petite bouchée légumes pain fantastique mention spéciale tourteau quenelles brochet revisitées sans parler foie grasartichaut version directeur létablissement dune classe dun professionalisme exceptionnels garderons souvenir magnifique repas cétait magique retournerons grand plaisir,2020,8
lavegniar,lavegniar,2020-08-20,Délicieusement vintage,5.0,couples,23,"Cartes créative, savoureuse, personnel au petit soin qu'il ne faut pas hésiter à aller chercher pour détendre (demander l'histoire de l'ananas sur le papier peint), dans cette gamme de restaurant, c'est néanmoins la sommelière qui nous aura marqué avec un choix de vins particulièrement adaptés et originaux. Très  belle soirée.",carte créative savoureuse personnel petit soin quil faut hésiter aller chercher détendre demander lhistoire lananas papier peint cette gamme restaurant cest néanmoins sommelière marqué choix vins particulièrement adaptés originaux très belle soirée,2020,8
carlyon2015,carlyon2015,2020-08-07,Parfait,5.0,none,233,"Du début à la fin du repas tout est parfait chez la Mère Brazier. Les menus de 5 à 10 plats en fonction des envies et appétit, le service est courtois sans être guindé, le cadre est agréable. Bref soirée parfaite grâce à Matthieu Viannay et son équipe.",début fin repas tout parfait chez mère brazier menu plat fonction envy appétit service courtois sans être guindé cadre agréable bref soirée parfaite grâce matthieu viannay équipe,2020,8
sebastien b,sebastienbA2524PF,2020-08-07,Parfait,5.0,couples,1,"Parfait 
Rien à dire accueil chaleureux 
À refaire salle conviviale service parfait rhytme des plats idéals ",parfait rien dire accueil chaleureux refaire salle conviviale service parfait rhytme plat idéals,2020,8
Cha Cha N,713chacha,2020-07-31,Parfait,5.0,couples,4,"Repas pris dans le cadre de l'opération ""à table! les soignants !""
Tout simplement parfait du début à la fin!
Une équipe aux petits soins. Des plats aux saveurs subtiles qui sublime chaque produit.
Un accord mets et vins fabuleux...
Un grand merci pour votre accueil et votre générosité, nous avons passé un moment inoubliable.
Bravo au chef et à toute l'équipe.
Nous reviendrons avec plaisir lors d'une prochaine visite lyonnaise.",repas pris cadre lopération table soignants tout simplement parfait début fin équipe petits soins plat saveurs subtiles sublime chaque produit accord mets vins fabuleux grand merci accueil générosité avon passé moment inoubliable bravo chef toute léquipe reviendrons plaisir lors dune prochaine visite lyonnaise,2020,7
MxmFllt,MxmFllt,2020-07-31,Un sommet,5.0,none,388,Tout était parfait pour notre repas à la mère Brazier. Excellent accueil de la part d'une équipe dynamique et sympathique. Le menu en dix plats est exceptionnel. Le foie gras et artichaut est exceptionnel. Les desserts sont magnifique. Très bon accord mets et vins avec une belle présentation par la sommelière. Un grand moment.,tout parfait repas mère brazier excellent accueil part dune équipe dynamique sympathique menu dix plat exceptionnel foie gras artichaut exceptionnel dessert magnifique très bon accord mets vins belle présentation sommelière grand moment,2020,7
sandrageeraert,sandrageeraert,2020-07-30,La Gastronomie Lyonnaise excellent,5.0,none,12,"Excellent restaurant gastronomiques et un souvenier inoubliable.Le service est irréprochable et les plats divins, le rythme de présentation agréable et les amuses bouche étonnants.",excellent restaurant gastronomiques souvenier inoubliablele service irréprochable plat divins rythme présentation agréable amuses bouche étonnants,2020,7
Bourguignon,boeufbourguignon75,2020-07-26,La gastronomie lyonnaise à l'honneur ! Un souvenir inoubliable !,5.0,none,126,"Pour la 3ème fois, j'ai eu la chance de passer un dîner exquis dans un restaurant exceptionnel qui fait honneur à la réputation de Lyon en termes de gastronomie ! A chaque dîner, c'est toujours un émerveillement avec des plats raffinés plein de saveurs et originaux. 
Si vous aimez la gastronomie française traditionnelle il faut absolument tester ce restaurant aux plats généreux qui mettent si bien en valeur notre terroir français !

Au menu du dîner :
- gambas carabineros en gelée de tête
-Saint Jacques poêlées au vin jaune et truffe, mangue verte et champignon
-Sublime Homard Bleu laqué au cidres de glace, raids noir, pomme verte et huile de noisettes
-Exquis dos de chevreuil rôté avec pommes sauvages à l'épicéa et betterave confite
-choix pléthorique de fromages affinés
-Surprenant dessert kaki et poire aux fruits de la passion, avec gingembre confit, miel soufflé et glace aux noix fraîches. 
Ce repas exceptionnel est bien sûr accompagné de multiples surprises des amuses bouches (notamment délicieux pâté en croûte au foie gras et avec cerises aux vingaires) en passant par les délicieux pains notamment le pain au betterave !",ème fois jai chance passer dîner exquis restaurant exceptionnel fait honneur réputation lyon termes gastronomie chaque dîner cest toujours émerveillement plat raffinés plein saveurs originaux aimez gastronomie française traditionnelle faut absolument tester restaurant plat généreux mettent bien valeur terroir français menu dîner gamba carabineros gelée tête saint jacques poêlées vin jaune truffe mangue verte champignon sublime homard bleu laqué cidres glace raid noir pomme verte huile noisettes exquis chevreuil rôté pommes sauvages lépicéa betterave confite choix pléthorique fromages affinés surprenant dessert kaki poire fruit passion gingembre confit miel soufflé glace noix fraîches repas exceptionnel bien sûr accompagné multiple surprise amuses bouches notamment délicieux pâté croûte foie gras cerise vingaires passant délicieux pain notamment pain betterave,2020,7
Patrice K,596patricek,2020-07-19,Une expérience culinaire inoubliable,5.0,none,2,"Le service est irréprochable et les plats divins, le rythme de présentation agréable et les amuses bouche étonnants… Une très belle expérience culinaire !",service irréprochable plat divins rythme présentation agréable amuses bouche étonnants très belle expérience culinaire,2020,7
Franck L,579franckl,2020-07-19,Excellent restaurant gastronomique,5.0,couples,27,Excellent restaurant gastronomique traditionnel. Très bon moment un service digne de l’excellence. Le style est très traditionnel mais c’est sympa à faire. Ma femme ayant des allergies au poisson ils ont totalement adapté le menu et le sommelier est de très bon conseil ,excellent restaurant gastronomique traditionnel très bon moment service digne lexcellence style très traditionnel cest sympa faire femme allergy poisson totalement adapté menu sommelier très bon conseil,2020,7
Aster7595,Aster7595,2020-07-19,Une parenthèse enchantée !,5.0,couples,1,"Une parenthèse enchantée !
Rien à redire, ni sur la noblesse de la cuisine que sur l efficacité sympathique du service. ",parenthèse enchantée rien redire noblesse cuisine efficacité sympathique service,2020,7
Artoupan,Artoupan,2020-07-16,Au top,5.0,none,2,"Une nourriture extrêmement fine, un service impeccable (avec une mention spéciale pour notre sommelière qui a su nous trouver des accords mets-vins parfaits, avec le sourire (malgré le masque) en plus), je garderai un excellent souvenir de cette soirée.",nourriture extrêmement fine service impeccable mention spéciale sommelière trouver accord metsvins parfait sourire malgré masque plus garderai excellent souvenir cette soirée,2020,7
facos95,facos95,2020-07-15,Carton plein !,5.0,couples,1172,"Mais quel délice ! La carte change très souvent, si ce n'est tous les jours, en fonction de leur envie. 110€ le menu découvert en 5 services (185€ le plus cher en 10 services), et c'était extra. Moi qui n'aime pas du tout le poisson, j'ai ADORÉ. La première fois que je goûte le pigeon aussi, et malgré mes fortes réticences (et mes nombreux frissons), le pigeon est vraiment top.
2h30 à table, réservez vite obligatoirement ! ",quel délice carte change très souvent nest tous jours fonction envie menu découvert service plus cher service cétait extra naime tout poisson jai adoré première fois goûte pigeon aussi malgré fortes réticences nombreux frisson pigeon vraiment top table réservez vite obligatoirement,2020,7
Minikhan,Minikhan,2020-07-12,Inoubliable,5.0,none,1,"Un moment délicieux et raffiné, concocté par un personnel attentionné. Une adresse magique. Félicitations!",moment délicieux raffiné concocté personnel attentionné adresse magique félicitations,2020,7
Brunog912,Brunog912,2020-07-12,Un excellent Anniversaire,5.0,family,71,"Nous étions 6 pour l'anniversaire de ma femme et ce fut un bonheur et une série de délices absolus.
La carte est un mélange entre tradition des Mères lyonnaises et innovation culinaire d'un meilleur ouvrier de France au talent extraordinaire. Le service est rythmé avec des interlocuteurs affable, compétents, rieurs ce qui permet de passer un très agréable moment dans un salon privé tempéré en ce soir de juillet. Un sommelier lui aussi meilleur ouvrier de France qui nous a éclairé de ses choix, des desserts magnifiques. Une soirée inoubliable y compris pour les enfants. ",lanniversaire femme bonheur série délices absolus carte mélange entre tradition mères lyonnais innovation culinaire dun meilleur ouvrier france talent extraordinaire service rythmé interlocuteurs affable compétents rieurs permet passer très agréable moment salon privé tempéré soir juillet sommelier aussi meilleur ouvrier france éclairé choix dessert magnifiques soirée inoubliable compris enfants,2020,7
Eric S,ericsB2855DZ,2020-07-11,Vraiment un excellent moment.,5.0,business,40,"Vraiment un excellent moment. Tout était top. Une cuisine à la fois classique et il inventive. 
Un rapport qualité prix excellent. ",vraiment excellent moment tout top cuisine fois classique inventive rapport qualité prix excellent,2020,7
Hypoglosse,Hypoglosse,2020-06-17,Excellent !,5.0,none,76,"Notre expérience à La Mère Brazier fut parfaite! 
Le cadre est intimiste, alliant le charme de l'ancien au confort du moderne. 
Le service était discret mais efficace. Les plats se sont enchainés au bon rythme. 
Nous avons vraiment apprécié les plats qui étaient fins, délicats tout en restants gourmands et vraiment savoureux. La quantité était juste. Seul la quenelle, certes typique de Lyon, était bonne mais sans grand intérêt. 
Le rapport qualité prix est bon.",expérience mère brazier parfaite cadre intimiste alliant charme lancien confort moderne service discret efficace plat enchainés bon rythme avon vraiment apprécié plat fin délicats tout restants gourmand vraiment savoureux quantité juste seul quenelle certes typique lyon bonne sans grand intérêt rapport qualité prix bon,2020,6
Michel,MichelGnvM,2020-05-24,"Excellent, mais, je pense un peu en dessous de ce que fut ma précédente expérience",4.0,none,8,"Comme mentionné dans le titre, le chef Viannay mène de main de maître sa maison. Plats savoureux, belle présentation, on se sent bien dans un 2 étoiles Michelin. 

Cependant certains plats ne m'ont pas transporté comme l'on est en droit de l'attendre lorsque l'on se rend dans ce genre d'établissement. 

Soirée dans sa globalité très satisfaisante mais....! 

Merci à l'équipe.",comme mentionné titre chef viannay mène main maître maison plat savoureux belle présentation sent bien étoiles michelin cependant certains plat mont transporté comme lon droit lattendre lorsque lon rend genre détablissement soirée globalité très satisfaisante merci léquipe,2020,5
Adrien,Adrien756,2020-03-12,Une expérience exceptionnelle,5.0,none,228,"Magnifique adresse au cœur de Lyon. J'y ai déjeuné avec un collègue un midi de novembre 2019. Assiettes de bonne facture, cave excellente. J'ai laissé à la sommelière le choix des vins et je ne regrette pas. 230 EUR à deux, apéritif, entrée, plat, dessert, café, eau et vins. Service remarquable. Excellent rapport qualité/prix.",magnifique adresse cœur lyon déjeuné collègue midi novembre assiettes bonne facture cave excellente jai laissé sommelière choix vins regrette eur deux apéritif entrée plat dessert café eau vins service remarquable excellent rapport qualitéprix,2020,3
